period,true_value,mm_signal,mm_bid,mm_ask,mm_num_buys,mm_num_sells,mm_pnl,bot_tight_bid,bot_tight_ask,bot_wide_bid,bot_wide_ask,bot_skewed_bid,bot_skewed_ask,bot_noisy_bid,bot_noisy_ask,bot_fade_bid,bot_fade_ask
14,465.14,412.74,342.74,482.74,0,0,0.0,424.62,534.62,348.91,588.91,311.25,466.25,441.89,473.58,368.98,472.73
15,490.9,496.58,426.58,566.58,0,0,0.0,415.76,525.76,430.38,670.38,445.58,600.58,367.35,544.69,453.75,535.38
16,232.42,332.41,262.41,402.41,0,35,-1049.63,212.1,322.1,64.3,304.3,236.92,391.92,119.48,232.79,103.6,276.57
17,834.35,840.55,770.55,910.55,0,0,0.0,764.6,874.6,811.21,1051.21,790.92,945.92,719.32,902.29,776.45,968.14
18,600.55,548.53,478.53,618.53,0,0,0.0,547.51,657.51,452.72,692.72,448.49,603.49,637.91,666.81,582.53,705.78
19,100.01,90.94,20.94,160.94,3,0,182.8,96.14,206.14,0.0,192.36,8.07,163.07,104.89,220.27,0.0,189.77
20,479.08,493.56,423.56,563.56,0,0,0.0,458.08,568.08,471.23,711.23,454.43,609.43,463.16,562.57,483.51,571.81
21,68.45,15.62,0.0,85.62,12,0,206.08,0.0,101.31,0.0,120.0,0.0,100.0,102.13,208.3,0.0,153.21
22,483.07,551.49,481.49,621.49,0,0,0.0,496.91,606.91,331.33,571.33,397.25,552.25,332.6,433.04,521.68,623.45
23,843.25,841.4,771.4,911.4,0,0,0.0,708.1,818.1,748.24,988.24,836.57,991.57,784.86,945.21,767.38,955.87
24,480.02,413.48,343.48,483.48,0,0,0.0,442.95,552.95,375.7,615.7,498.96,653.96,363.23,525.63,358.22,464.77
25,410.38,323.51,253.51,393.51,23,0,-388.0,361.01,471.01,314.21,554.21,350.05,505.05,314.44,452.38,321.41,437.57
26,818.36,905.94,835.94,975.94,0,20,-351.52,718.8,828.8,615.58,855.58,768.82,923.82,706.95,786.09,697.53,861.37
27,466.43,545.12,475.12,615.12,0,28,-243.11,431.32,541.32,424.06,664.06,281.9,436.9,411.99,509.63,451.93,534.03
28,735.91,751.13,681.13,821.13,0,0,0.0,744.56,854.56,602.0,842.0,688.88,843.88,619.5,696.95,718.76,890.09
29,366.55,304.44,234.44,374.44,16,0,126.26,377.03,487.03,247.19,487.19,360.18,515.18,352.05,409.81,353.49,461.28
30,582.69,513.04,443.04,583.04,0,0,0.0,526.56,636.56,481.84,721.84,574.76,729.76,516.88,627.61,466.44,548.71
31,544.57,522.81,452.81,592.81,2,0,96.48,569.07,679.07,491.03,731.03,503.79,658.79,447.4,615.6,513.57,612.48
32,824.6,828.91,758.91,898.91,0,0,0.0,766.27,876.27,743.07,983.07,755.78,910.78,691.26,835.64,758.35,943.65
33,219.58,161.44,91.44,231.44,10,0,118.54,161.21,271.21,83.4,323.4,176.31,331.31,126.94,264.1,106.63,278.82
34,271.9,271.04,201.04,341.04,0,0,0.0,206.79,316.79,140.75,380.75,196.47,351.47,220.48,322.5,218.52,361.52
35,22.66,69.58,0.0,139.58,0,0,0.0,0.0,77.35,0.0,120.0,38.76,193.76,11.54,98.63,0.0,123.2
36,13.18,58.6,0.0,128.6,0,0,0.0,0.0,91.69,0.0,165.91,0.0,100.0,59.17,136.16,0.0,191.71
37,335.48,345.84,275.84,415.84,0,0,0.0,382.57,492.57,110.38,350.38,152.19,307.19,333.36,436.92,205.66,352.01
38,200.16,190.28,120.28,260.28,0,0,0.0,160.09,270.09,148.0,388.0,206.73,361.73,68.13,225.55,121.6,289.87
39,945.82,937.68,867.68,1007.68,0,0,0.0,831.84,941.84,871.3,1111.3,873.07,1028.07,843.07,1006.82,820.02,1027.09
40,601.6,614.56,544.56,684.56,0,0,0.0,593.31,703.31,525.93,765.93,546.94,701.94,674.56,784.87,503.46,598.8
41,422.39,398.16,328.16,468.16,0,0,0.0,311.36,421.36,318.51,558.51,325.62,480.62,396.54,526.63,396.91,493.37
42,347.55,454.05,384.05,524.05,0,27,-985.67,286.85,396.85,122.03,362.03,229.63,384.63,364.37,486.23,248.89,383.96
43,860.27,758.59,688.59,828.59,22,0,-696.85,824.49,934.49,740.89,980.89,855.38,1010.38,889.61,1004.17,751.6,934.52
44,229.92,285.44,215.44,355.44,0,0,0.0,116.57,226.57,100.66,340.66,182.67,337.67,255.38,393.41,32.18,223.79
45,747.72,691.22,621.22,761.22,16,0,216.02,718.42,828.42,637.55,877.55,709.89,864.89,702.22,873.93,667.2,820.33
46,106.47,65.1,0.0,135.1,0,0,0.0,18.67,128.67,0.0,198.41,134.11,289.11,65.98,208.27,0.0,169.25
47,938.13,894.09,824.09,964.09,0,0,0.0,778.45,888.45,899.36,1139.36,783.76,938.76,938.74,1065.31,785.8,980.79
48,539.02,518.44,448.44,588.44,0,0,0.0,597.79,707.79,376.41,616.41,489.77,644.77,435.89,479.57,541.32,650.03
49,329.37,348.37,278.37,418.37,0,0,0.0,260.67,370.67,219.79,459.79,309.48,464.48,217.69,285.9,227.3,368.01
50,423.21,462.33,392.33,532.33,0,11,339.65,341.1,451.1,319.48,559.48,384.97,539.97,363.84,476.68,357.13,463.96
51,38.99,0.0,0.0,70.0,9,6,513.03,0.0,97.0,0.0,150.34,0.0,100.0,0.0,140.47,0.0,115.0
52,142.74,130.55,60.55,200.55,5,0,289.05,107.09,217.09,16.03,256.03,86.56,241.56,101.71,201.04,106.3,278.57
53,434.53,357.01,287.01,427.01,0,0,0.0,318.99,428.99,318.73,558.73,353.07,508.07,423.29,525.94,302.66,423.7
54,443.4,477.45,407.45,547.45,0,0,0.0,340.15,450.15,334.95,574.95,389.64,544.64,317.33,430.89,435.38,521.81
55,252.27,247.36,177.36,317.36,0,0,0.0,236.65,346.65,205.24,445.24,242.92,397.92,232.93,359.79,104.56,277.28
56,185.05,248.24,178.24,318.24,0,5,34.06,117.94,227.94,24.17,264.17,160.99,315.99,48.48,152.22,134.06,299.09
57,91.19,111.24,41.24,181.24,0,0,0.0,119.96,229.96,50.58,290.58,66.24,221.24,0.0,72.65,0.0,188.18
58,326.26,251.55,181.55,321.55,22,0,-103.58,328.5,438.5,163.5,403.5,248.53,403.53,228.07,361.42,283.58,409.6
59,397.59,498.43,428.43,568.43,0,21,-647.59,322.71,432.71,241.12,481.12,288.4,443.4,287.02,441.85,353.94,461.61
60,91.87,75.04,5.04,145.04,0,0,0.0,0.0,106.57,29.19,269.19,56.34,211.34,201.52,310.85,0.0,146.1
61,171.03,168.19,98.19,238.19,0,0,0.0,123.45,233.45,113.34,353.34,147.46,302.46,124.12,245.53,67.97,250.24
62,242.81,179.27,109.27,249.27,0,0,0.0,186.88,296.88,149.01,389.01,88.82,243.82,168.48,304.39,255.45,388.81
63,535.52,611.55,541.55,681.55,0,20,-120.63,506.65,616.65,488.4,728.4,485.51,640.51,532.27,578.76,322.87,438.65
64,642.61,637.52,567.52,707.52,0,0,0.0,565.6,675.6,530.82,770.82,655.17,810.17,631.05,745.4,565.36,682.55
65,31.08,105.47,35.47,175.47,0,18,-79.03,0.0,90.71,0.0,136.33,0.0,101.7,0.0,41.28,0.0,115.0
66,259.18,259.65,189.65,329.65,4,0,281.9,273.76,383.76,232.98,472.98,285.74,440.74,265.63,331.95,240.59,377.83
67,682.37,679.02,609.02,749.02,0,0,0.0,664.9,774.9,549.2,789.2,650.54,805.54,574.13,744.61,640.89,784.74
68,351.02,317.12,247.12,387.12,0,0,0.0,200.06,310.06,208.46,448.46,381.18,536.18,144.17,343.86,284.09,409.98
69,385.82,303.15,233.15,373.15,21,0,-266.04,343.83,453.83,320.62,560.62,372.01,527.01,309.1,377.67,302.15,423.33
70,570.06,557.03,487.03,627.03,0,0,0.0,495.02,605.02,328.36,568.36,531.09,686.09,470.37,655.86,596.72,724.97
71,816.8,748.56,678.56,818.56,9,0,15.84,714.69,824.69,747.79,987.79,815.07,970.07,859.3,951.84,675.68,831.8
72,371.62,286.34,216.34,356.34,22,0,-336.15,335.55,445.55,311.04,551.04,328.4,483.4,333.23,461.81,349.62,458.42
73,537.97,547.01,477.01,617.01,0,0,0.0,541.48,651.48,446.17,686.17,454.61,609.61,488.23,600.57,540.3,648.64
74,344.8,368.15,298.15,438.15,0,0,0.0,233.34,343.34,237.51,477.51,306.23,461.23,222.27,323.66,242.91,379.54
75,53.77,111.22,41.22,181.22,0,0,0.0,0.0,55.0,0.0,140.96,0.0,143.77,106.08,204.35,2.2,201.62
76,14.83,8.94,0.0,78.94,1,13,256.93,0.0,105.53,0.0,159.77,0.0,100.0,0.0,81.36,0.0,143.21
77,613.63,616.58,546.58,686.58,0,0,0.0,602.54,712.54,495.08,735.08,590.21,745.21,640.48,733.23,565.48,682.71
78,746.22,718.84,648.84,788.84,0,0,0.0,652.06,762.06,682.05,922.05,707.85,862.85,668.47,728.1,698.96,863.3
79,719.63,731.72,661.72,801.72,0,0,0.0,743.86,853.86,639.6,879.6,670.52,825.52,640.17,761.62,646.2,791.92
80,453.9,402.77,332.77,472.77,0,0,0.0,343.76,453.76,212.95,452.95,299.5,454.5,510.65,601.79,398.98,494.9
81,828.94,857.68,787.68,927.68,0,10,412.68,767.27,877.27,720.82,960.82,714.46,869.46,716.46,839.68,727.82,902.35
82,434.87,407.38,337.38,477.38,0,0,0.0,302.58,412.58,348.5,588.5,451.53,606.53,390.44,477.79,349.62,458.41
83,853.43,882.55,812.55,952.55,0,0,0.0,870.01,980.01,730.94,970.94,756.16,911.16,665.64,846.86,775.11,966.33
84,146.19,124.59,54.59,194.59,0,0,0.0,45.34,155.34,0.0,237.57,91.23,246.23,84.55,239.25,0.0,164.97
85,912.87,982.93,912.93,1052.93,0,20,-1.26,855.39,965.39,821.14,1061.14,854.08,1009.08,798.71,943.17,792.22,989.47
86,430.76,418.74,348.74,488.74,0,0,0.0,391.17,501.17,336.41,576.41,390.07,545.07,275.74,491.56,362.01,467.57
87,43.08,17.3,0.0,87.3,8,0,353.77,0.0,94.69,0.0,180.07,20.06,175.06,9.02,104.76,26.14,219.32
88,352.59,357.68,287.68,427.68,0,0,0.0,347.63,457.63,167.05,407.05,329.49,484.49,353.59,465.17,283.41,409.48
89,157.18,138.42,68.42,208.42,0,0,0.0,89.3,199.3,71.72,311.72,92.68,247.68,222.11,353.1,5.12,203.78
90,120.92,61.88,0.0,131.88,14,0,153.49,71.87,181.87,0.0,159.8,61.23,216.23,0.0,142.74,35.12,225.96
91,518.67,513.84,443.84,583.84,0,0,0.0,446.66,556.66,380.77,620.77,504.08,659.08,429.39,548.38,524.23,626.89
92,65.9,89.98,19.98,159.98,0,7,321.4,0.0,58.8,0.0,141.3,0.06,155.06,0.0,102.3,0.0,115.0
93,143.32,124.71,54.71,194.71,0,0,0.0,126.83,236.83,0.0,225.42,118.03,273.03,100.95,188.79,1.6,201.18
94,751.5,727.61,657.61,797.61,0,0,0.0,701.79,811.79,571.09,811.09,766.44,921.44,652.31,774.61,739.51,918.16
95,403.52,432.89,362.89,502.89,0,0,0.0,335.17,445.17,192.22,432.22,380.92,535.92,369.47,532.47,391.21,489.15
96,667.54,696.74,626.74,766.74,0,0,0.0,587.25,697.25,487.83,727.83,629.05,784.05,662.9,747.22,647.92,794.25
97,118.58,118.32,48.32,188.32,0,0,0.0,51.02,161.02,27.5,267.5,105.59,260.59,158.68,237.6,0.0,165.03
98,77.91,53.33,0.0,123.33,10,0,454.21,35.89,145.89,0.0,183.57,54.2,209.2,0.0,174.52,1.39,201.02
99,510.46,477.86,407.86,547.86,0,0,0.0,448.43,558.43,261.05,501.05,506.63,661.63,479.3,521.35,426.94,515.57
100,734.07,786.52,716.52,856.52,0,0,0.0,682.07,792.07,663.09,903.09,719.79,874.79,656.77,754.48,626.36,765.07
101,648.8,708.6,638.6,778.6,0,13,132.57,631.22,741.22,507.64,747.64,570.44,725.44,632.02,764.66,620.99,757.8
102,330.4,274.23,204.23,344.23,0,0,0.0,192.13,302.13,186.85,426.85,255.08,410.08,237.63,327.65,371.02,474.23
103,505.5,487.27,417.27,557.27,0,0,0.0,445.38,555.38,312.55,552.55,476.45,631.45,401.99,511.25,415.52,507.12
104,58.38,53.8,0.0,123.8,0,0,0.0,0.0,95.56,0.0,120.0,37.79,192.79,16.1,77.95,0.0,138.28
105,249.72,272.2,202.2,342.2,0,0,0.0,237.28,347.28,112.04,352.04,264.82,419.82,189.98,281.88,142.06,305.0
106,995.3,1020.08,950.08,1090.08,0,0,0.0,979.37,1089.37,781.57,1021.57,991.35,1146.35,971.01,1080.09,852.47,1070.98
107,865.48,776.0,706.0,846.0,19,0,-370.0,765.6,875.6,731.33,971.33,781.76,936.76,786.53,946.82,754.68,938.68
108,89.95,160.7,90.7,230.7,0,18,-13.46,10.12,120.12,2.16,242.16,47.09,202.09,34.91,204.84,0.0,154.67
109,887.32,832.95,762.95,902.95,0,0,0.0,726.88,836.88,788.61,1028.61,807.99,962.99,950.47,1006.5,754.77,938.81
110,298.87,244.41,174.41,314.41,19,0,295.27,206.29,316.29,103.68,343.68,274.42,429.42,122.93,321.64,175.34,329.6
111,984.53,931.16,861.16,1001.16,12,0,199.6,971.75,1081.75,884.44,1124.44,926.74,1081.74,926.98,1063.49,822.87,1030.94
112,249.88,214.53,144.53,284.53,0,0,0.0,145.34,255.34,97.67,337.67,202.22,357.22,134.64,337.37,247.11,382.65
113,141.11,129.66,59.66,199.66,0,0,0.0,149.88,259.88,117.63,357.63,118.97,273.97,86.21,215.82,0.0,195.71
114,345.65,394.92,324.92,464.92,0,0,0.0,304.36,414.36,192.86,432.86,336.21,491.21,319.44,485.79,257.68,390.46
115,144.0,62.05,0.0,132.05,0,0,0.0,0.0,97.73,6.94,246.94,0.0,147.33,108.16,286.31,43.01,231.79
116,340.76,268.57,198.57,338.57,0,0,0.0,371.84,481.84,224.85,464.85,275.75,430.75,175.2,301.56,302.01,423.22
117,450.43,426.22,356.22,496.22,4,0,183.18,461.37,571.37,286.77,526.77,378.96,533.96,374.2,499.26,466.83,549.24
118,44.73,44.5,0.0,114.5,0,0,0.0,5.67,115.67,0.0,155.48,0.0,100.0,18.82,91.19,0.0,132.09
119,825.27,755.14,685.14,825.14,20,0,-2.56,722.43,832.43,694.68,934.68,820.79,975.79,753.38,885.89,674.66,830.42
120,167.1,222.98,152.98,292.98,0,0,0.0,59.32,169.32,49.14,289.14,190.71,345.71,141.83,303.17,83.72,261.88
121,686.07,643.31,573.31,713.31,12,0,326.9,674.48,784.48,546.58,786.58,651.2,806.2,702.79,726.81,704.61,870.94
122,615.65,610.77,540.77,680.77,0,0,0.0,582.76,692.76,501.8,741.8,503.75,658.75,476.89,616.81,550.89,662.97
123,20.77,0.0,0.0,70.0,4,0,196.93,22.79,132.79,0.0,120.0,0.0,100.0,0.0,120.12,0.0,135.68
124,119.03,118.99,48.99,188.99,0,2,140.07,33.57,143.57,0.0,177.74,24.9,179.9,0.0,108.01,0.0,199.21
125,385.48,378.08,308.08,448.08,0,0,0.0,390.3,500.3,286.15,526.15,270.45,425.45,245.0,337.76,309.3,428.62
126,720.48,726.8,656.8,796.8,0,0,0.0,764.27,874.27,611.92,851.92,641.39,796.39,696.24,797.67,635.51,777.45
127,340.2,331.68,261.68,401.68,0,0,0.0,299.49,409.49,216.72,456.72,228.32,383.32,295.72,427.93,232.76,372.04
128,471.97,521.42,451.42,591.42,0,8,164.4,376.59,486.59,357.55,597.55,386.09,541.09,438.39,602.06,420.63,510.9
129,872.68,855.23,785.23,925.23,0,0,0.0,823.89,933.89,662.6,902.6,889.35,1044.35,728.45,889.88,813.51,1018.28
130,431.56,445.16,375.16,515.16,0,0,0.0,357.49,467.49,322.18,562.18,395.31,550.31,374.93,426.31,422.66,512.4
131,463.9,563.24,493.24,633.24,0,23,-674.8,459.44,569.44,364.49,604.49,415.94,570.94,306.98,482.99,356.54,463.53
132,636.43,745.1,675.1,815.1,0,23,-889.46,613.17,723.17,509.76,749.76,483.06,638.06,651.4,711.53,575.75,696.6
133,850.2,798.74,728.74,868.74,11,0,203.84,867.5,977.5,707.75,947.75,752.68,907.68,922.55,1051.56,855.0,1074.41
134,750.94,826.41,756.41,896.41,0,17,-93.01,695.29,805.29,645.52,885.52,692.27,847.27,520.49,717.08,677.93,834.85
135,598.53,659.81,589.81,729.81,0,16,139.59,461.57,571.57,460.84,700.84,557.51,712.51,541.09,673.98,515.7,615.36
136,38.02,21.89,0.0,91.89,5,0,269.37,44.13,154.13,0.0,165.11,0.0,100.0,82.23,199.67,0.0,159.18
137,866.85,967.22,897.22,1037.22,0,28,-850.44,843.25,953.25,717.89,957.89,796.49,951.49,849.0,960.54,787.93,983.67
138,206.53,270.95,200.95,340.95,0,11,61.34,59.88,169.88,91.23,331.23,163.18,318.18,67.44,251.47,147.13,308.75
139,325.01,256.62,186.62,326.62,12,0,19.26,265.04,375.04,209.78,449.78,280.63,435.63,359.45,419.3,379.06,480.17
140,528.09,571.23,501.23,641.23,0,0,0.0,561.17,671.17,367.76,607.76,564.38,719.38,436.11,613.72,478.96,565.65
141,818.14,754.93,684.93,824.93,16,0,108.78,731.59,841.59,720.78,960.78,740.17,895.17,813.08,857.7,782.7,976.59
142,797.65,799.91,729.91,869.91,0,0,0.0,776.38,886.38,710.32,950.32,735.87,890.87,679.62,832.9,774.11,964.97
143,590.38,646.24,576.24,716.24,0,11,155.53,503.85,613.85,467.34,707.34,537.2,692.2,525.48,611.76,525.97,629.25
144,577.64,653.39,583.39,723.39,0,15,-86.21,576.84,686.84,530.43,770.43,497.21,652.21,471.03,645.0,468.72,551.8
145,496.8,556.25,486.25,626.25,0,17,179.35,310.02,420.02,393.04,633.04,415.26,570.26,358.53,530.78,428.72,516.88
146,316.16,423.98,353.98,493.98,0,23,-869.89,258.53,368.53,227.76,467.76,310.02,465.02,236.7,331.69,263.21,394.55
147,133.07,80.89,10.89,150.89,0,0,0.0,89.53,199.53,0.0,201.96,42.64,197.64,61.92,144.59,62.71,246.35
148,757.1,825.59,755.59,895.59,0,6,9.04,736.56,846.56,692.84,932.84,699.36,854.36,700.25,766.51,635.21,777.04
149,296.79,295.11,225.11,365.11,0,0,0.0,352.32,462.32,216.78,456.78,163.9,318.9,268.41,325.11,205.19,351.66
150,3.0,0.0,0.0,70.0,2,0,134.0,0.0,79.53,0.0,120.0,0.0,139.54,8.25,108.94,0.0,135.08
151,629.56,707.72,637.72,777.72,0,22,-179.72,591.73,701.73,489.3,729.3,552.25,707.25,604.92,643.38,555.1,668.66
152,8.03,90.35,20.35,160.35,0,16,-197.2,0.0,82.02,0.0,169.4,0.0,100.0,0.0,72.36,0.0,115.0
153,413.49,470.12,400.12,540.12,0,12,160.41,353.69,463.69,225.7,465.7,278.86,433.86,357.15,548.57,316.68,434.06
154,336.79,291.32,221.32,361.32,0,0,0.0,253.71,363.71,240.91,480.91,331.93,486.93,270.14,407.09,188.34,339.21
155,421.42,445.98,375.98,515.98,0,0,0.0,392.25,502.25,329.96,569.96,350.77,505.77,442.73,520.89,357.66,464.36
156,184.45,227.16,157.16,297.16,0,0,0.0,188.68,298.68,66.14,306.14,145.11,300.11,51.16,165.85,29.43,221.76
157,469.73,480.55,410.55,550.55,0,0,0.0,371.42,481.42,299.81,539.81,361.31,516.31,474.92,517.95,414.91,506.67
158,343.7,323.62,253.62,393.62,0,0,0.0,241.96,351.96,288.72,528.72,221.1,376.1,184.12,311.05,298.15,420.37
159,793.42,766.5,696.5,836.5,0,0,0.0,681.06,791.06,711.29,951.29,825.95,980.95,806.95,935.27,723.97,897.14
160,861.83,887.2,817.2,957.2,0,0,0.0,801.81,911.81,880.74,1120.74,814.8,969.8,756.87,915.39,745.59,926.38
161,989.81,1044.31,974.31,1114.31,0,0,0.0,972.56,1082.56,922.93,1162.93,861.34,1016.34,1016.96,1099.86,883.84,1113.43
162,920.5,902.33,832.33,972.33,0,0,0.0,818.56,928.56,811.99,1051.99,788.46,943.46,896.78,970.81,800.64,1000.87
163,644.75,675.1,605.1,745.1,0,0,0.0,563.81,673.81,530.21,770.21,637.2,792.2,603.09,686.02,488.9,579.11
164,148.34,109.54,39.54,179.54,11,0,343.25,95.86,205.86,0.0,225.32,92.08,247.08,137.29,284.59,73.67,254.45
165,19.45,3.29,0.0,73.29,0,0,0.0,0.0,69.34,0.0,151.87,0.0,152.63,40.12,150.76,0.0,163.34
166,505.13,586.93,516.93,656.93,0,26,-306.81,392.59,502.59,286.83,526.83,508.82,663.82,423.9,594.04,478.69,565.29
167,369.53,366.99,296.99,436.99,0,0,0.0,284.3,394.3,122.77,362.77,279.55,434.55,333.08,454.99,331.6,445.09
168,533.7,575.47,505.47,645.47,0,0,0.0,483.91,593.91,363.73,603.73,488.47,643.47,562.38,641.88,525.76,628.97
169,905.03,859.22,789.22,929.22,0,0,0.0,870.81,980.81,805.65,1045.65,909.78,1064.78,742.44,790.68,843.32,1058.61
170,40.28,88.67,18.67,158.67,0,0,0.0,115.44,225.44,0.0,195.4,17.64,172.64,0.0,66.9,0.0,181.7
171,719.2,720.76,650.76,790.76,0,0,0.0,552.11,662.11,560.09,800.09,699.97,854.97,710.43,770.82,695.67,858.84
172,480.49,425.07,355.07,495.07,0,0,0.0,450.79,560.79,209.55,449.55,427.4,582.4,420.35,524.38,452.07,534.14
173,60.54,68.23,0.0,138.23,0,0,0.0,0.0,55.0,0.0,132.03,0.0,141.6,26.96,201.93,0.0,115.0
174,362.99,321.56,251.56,391.56,8,0,228.53,410.93,520.93,224.42,464.42,298.12,453.12,378.89,457.81,268.27,398.29
175,983.25,866.98,796.98,936.98,23,0,-1064.29,968.17,1078.17,884.39,1124.39,880.6,1035.6,970.36,1158.51,877.58,1104.97
176,462.37,481.8,411.8,551.8,0,8,404.59,376.69,486.69,400.72,640.72,386.99,541.99,337.72,465.95,334.12,446.96
177,560.52,512.31,442.31,582.31,13,0,283.19,477.56,587.56,410.76,650.76,517.41,672.41,529.88,646.69,534.63,640.97
178,456.99,481.97,411.97,551.97,0,0,0.0,415.72,525.72,343.6,583.6,426.41,581.41,392.64,498.87,420.06,510.48
179,119.82,82.36,12.36,152.36,6,0,195.25,151.09,261.09,63.69,303.69,64.01,219.01,173.29,283.07,60.01,244.36
180,250.04,209.13,139.13,279.13,0,0,0.0,159.77,269.77,172.57,412.57,168.44,323.44,215.16,343.18,195.6,344.57
181,80.63,173.77,103.77,243.77,0,20,-462.88,50.53,160.53,0.0,120.0,4.77,159.77,0.0,113.83,0.0,196.06
182,525.97,489.88,419.88,559.88,0,0,0.0,411.53,521.53,416.69,656.69,507.51,662.51,447.09,516.53,424.89,514.05
183,596.55,572.39,502.39,642.39,0,0,0.0,462.93,572.93,382.25,622.25,458.83,613.83,594.23,690.86,527.38,631.16
184,327.05,243.41,173.41,313.41,0,0,0.0,175.76,285.76,270.44,510.44,260.01,415.01,216.31,294.67,261.92,393.59
185,218.52,189.13,119.13,259.13,0,0,0.0,160.84,270.84,47.52,287.52,145.81,300.81,110.96,220.76,207.62,353.46
186,105.83,60.08,0.0,130.08,0,0,0.0,11.46,121.46,0.0,230.51,42.55,197.55,96.13,171.56,10.09,207.46
187,483.4,538.54,468.54,608.54,0,0,0.0,400.25,510.25,518.61,758.61,417.95,572.95,610.64,745.04,365.5,470.15
188,298.31,342.14,272.14,412.14,0,0,0.0,292.21,402.21,182.5,422.5,189.21,344.21,254.69,326.88,170.16,325.77
189,981.19,992.87,922.87,1062.87,0,0,0.0,910.15,1020.15,874.09,1114.09,929.86,1084.86,935.18,1051.67,801.93,1002.61
190,283.47,329.79,259.79,399.79,0,0,0.0,301.67,411.67,252.47,492.47,209.13,364.13,104.82,229.05,212.01,356.7
191,626.06,617.18,547.18,687.18,0,0,0.0,608.13,718.13,518.47,758.47,584.58,739.58,499.79,634.62,556.55,670.63
192,408.9,391.49,321.49,461.49,0,0,0.0,393.42,503.42,362.09,602.09,365.22,520.22,423.01,514.41,318.34,435.29
193,127.33,150.02,80.02,220.02,0,0,0.0,77.6,187.6,0.0,195.53,99.88,254.88,139.28,222.21,137.12,301.35
194,547.79,568.89,498.89,638.89,0,0,0.0,474.96,584.96,431.38,671.38,537.6,692.6,550.4,616.02,432.07,519.36
195,924.04,908.31,838.31,978.31,0,0,0.0,884.51,994.51,944.46,1184.46,808.65,963.65,818.7,972.4,823.42,1031.68
196,159.42,173.33,103.33,243.33,0,7,392.65,42.63,152.63,87.33,327.33,14.96,169.96,0.0,156.19,48.16,235.6
197,483.12,489.1,419.1,559.1,0,0,0.0,485.45,595.45,328.44,568.44,474.48,629.48,343.85,479.02,464.64,546.28
198,549.03,452.09,382.09,522.09,24,0,-646.52,614.5,724.5,425.85,665.85,558.72,713.72,464.9,626.66,499.9,593.98
199,3.44,51.91,0.0,121.91,0,15,51.53,0.0,78.12,0.0,172.29,0.0,100.0,0.0,109.06,0.0,115.0
200,56.12,0.0,0.0,70.0,10,0,138.78,20.28,130.28,0.0,181.59,58.97,213.97,49.47,110.66,27.59,220.39
201,752.03,754.99,684.99,824.99,0,0,0.0,704.54,814.54,567.79,807.79,665.46,820.46,817.88,919.37,672.7,827.77
202,861.56,866.89,796.89,936.89,0,0,0.0,811.86,921.86,811.75,1051.75,853.63,1008.63,691.59,813.89,808.71,1011.78
203,270.26,181.38,111.38,251.38,23,0,-434.14,183.68,293.68,174.09,414.09,199.22,354.22,225.43,290.07,200.11,347.9
204,584.22,691.35,621.35,761.35,0,17,-631.11,528.39,638.39,539.87,779.87,451.42,606.42,453.85,540.53,563.93,680.61
205,350.02,320.19,250.19,390.19,0,0,0.0,316.09,426.09,186.62,426.62,306.52,461.52,238.02,375.53,460.3,540.41
